50 75
1 2 1759
1 6 2372
2 3 330
2 4 700
3 4 643
3 31 1825
4 5 975
4 29 1555
5 6 1165
5 7 740
6 8 4516
7 26 3260
7 28 1150
8 9 729
9 10 745
9 26 1423
10 11 384
10 13 1230
10 26 1408
11 12 362
11 14 1029
12 13 459
12 22 2143
13 23 781
14 15 1463
14 16 2245
15 16 1672
16 17 518
17 18 430
17 20 160
18 19 270
19 20 263
20 21 1713
21 22 764
21 50 660
22 23 1657
23 24 498
24 25 930
24 41 1903
24 48 2767
25 26 2008
25 40 810
26 27 1200
27 28 738
27 40 1340
28 29 546
28 35 1743
29 30 1018
30 31 827
30 33 497
31 32 283
32 33 757
32 34 792
33 35 1511
34 35 1690
34 43 2200
35 36 336
36 37 520
36 38 529
37 38 530
37 42 1036
38 39 1014
39 40 314
39 41 1289
41 48 1840
42 43 393
42 47 2340
43 44 1150
44 45 940
44 47 2400
45 46 1027
47 48 617
48 49 1495
48 50 1670
49 50 974
